"Section","Category","Title","OfficialUrl","LocalPath","Format","Status","SourceBatch","Notes"
"行业重要法规与准则","企业会计准则","企业会计准则——基本准则","http://tfs.mof.gov.cn/caizhengbuling/201407/t20140729_1119494.htm","raw/standards/accounting/standards-pages/企业会计准则-基本准则.html","html","downloaded","enterprise-accounting-standards-download-2026-06-26","财政部会计司企业会计准则栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第10号——关于以使用固定资产产生的收入为基础的折旧方法》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628435.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第10号-关于以使用固定资产产生的收入为基础的折旧方法-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第11号——关于以使用无形资产产生的收入为基础的摊销方法》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628437.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第11号-关于以使用无形资产产生的收入为基础的摊销方法-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第12号——关于关键管理人员服务的提供方与接受方是否为关联方》的通知","https://kjs.mof.gov.cn/zhengcefabu/201706/t20170621_2628439.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第12号-关于关键管理人员服务的提供方与接受方是否为关联方-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第13号》的通知","https://kjs.mof.gov.cn/zhengcefabu/201912/t20191213_3441493.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第13号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第14号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202102/t20210202_3653110.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第14号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第15号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202112/t20211231_3779983.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第15号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第16号》的通知","https://kjs.mof.gov.cn/gongzuotongzhi/202212/t20221212_3857395.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第16号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第17号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202311/t20231109_3915491.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第17号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
"行业重要法规与准则","企业会计准则解释","关于印发《企业会计准则解释第18号》的通知","https://kjs.mof.gov.cn/zhengcefabu/202412/t20241223_3950344.htm","raw/standards/accounting/interpretations-pages/关于印发-企业会计准则解释第18号-的通知.html","html","downloaded","enterprise-accounting-standards-interpretations-download-2026-06-26","财政部会计司企业会计准则解释栏目"
